orchestrator,run_id,deploy_ms,build_ms,health_ms,success
Docker Compose,20260311_161516,108098,81755,12514,True
Docker Compose,20260311_161809,85321,59191,12351,True
Docker Compose,20260311_162339,104687,73977,16308,True
Docker Compose,20260311_162625,90931,62172,14262,True
Docker Compose,20260311_162832,103665,77513,12225,True
Kubernetes,20260311_163050,146279,91868,81,True
Kubernetes,20260311_163420,124869,70402,97,True
Kubernetes,20260311_163726,126727,72217,90,True
Kubernetes,20260311_164036,93811,70774,80,True
Kubernetes,20260311_164253,128968,69216,161,True
